LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
153	-115.28	49.61	28	124	33	8099	225	-146	371	-68	125	131	-76	770	91	44	24	259	143	167	245	lp
154	-119.7	49.88	47	113	32	7944	240	-106	346	149	2	149	-56	328	35	18	21	100	59	100	83	lp
155	-119.28	52.86	25	113	29	8535	219	-158	377	-81	28	130	-88	657	72	37	19	195	115	173	187	lp
156	-119.16	52.76	17	111	30	8399	207	-160	367	-87	18	121	-94	707	77	39	19	216	126	183	206	lp
157	-121.4	56.92	0	106	25	11004	206	-213	419	133	-146	133	-146	479	85	23	50	215	74	215	74	lp
158	-122.68	51	26	115	32	7733	210	-146	356	-66	-20	124	-72	460	55	23	24	154	83	119	143	lp
159	-122.58	51.13	-1	114	33	7369	175	-170	345	92	-48	92	-92	456	51	24	23	138	84	138	130	lp
160	-129.1	59.93	-31	121	24	12918	203	-287	490	124	-97	124	-206	490	62	18	28	161	77	161	115	lp
161	-122.71	58.6	-14	125	25	13318	226	-271	497	144	-82	144	-194	453	80	19	53	207	61	207	65	lp
162	-126.05	55.61	8	116	29	9162	200	-193	393	-103	-41	120	-117	520	57	21	24	159	85	150	147	lp
163	-119.1	49.44	49	115	33	7902	244	-102	346	128	4	151	-52	378	42	23	20	112	75	109	98	lp
164	-118.88	49.56	42	110	32	7832	234	-106	340	-51	-4	143	-58	443	49	28	19	129	88	123	119	lp
165	-122	53.26	17	120	33	8035	202	-157	359	-81	15	118	-87	858	87	45	16	247	165	239	234	lp
166	-122.66	53.2	33	124	32	8554	224	-154	378	138	-9	138	-82	584	64	26	24	188	92	188	142	lp
167	-126.46	55.9	6	116	29	9243	199	-200	399	-108	-43	117	-120	516	56	20	24	155	82	150	144	lp
168	-119.73	51.58	24	104	30	7921	208	-133	341	-72	22	125	-78	658	73	36	18	200	126	175	187	lp
169	-117.8	49.16	58	105	30	8056	253	-89	342	-36	156	161	-43	755	97	38	30	273	121	148	253	lp
170	-123.68	59.53	-17	115	24	13315	222	-257	479	143	-89	143	-193	457	84	17	53	210	60	210	63	lp
171	-120.4	49.78	24	111	33	7688	208	-126	334	-67	-21	122	-75	358	40	19	22	110	65	102	100	lp
172	-116.01	49.61	32	112	31	8176	229	-130	359	-65	131	137	-72	641	74	40	22	211	130	149	193	lp
173	-120.01	49.53	11	108	32	7552	194	-135	329	84	-36	108	-84	354	38	20	22	106	66	106	92	lp
174	-120.56	51.05	14	100	31	7447	186	-132	318	-75	-30	110	-80	499	54	28	19	145	94	143	137	lp
175	-120.53	50.58	22	103	32	7485	197	-122	319	118	-23	118	-73	391	40	21	21	117	69	117	103	lp
176	-121.01	49.73	31	105	33	7340	205	-111	316	-56	122	125	-63	590	81	35	33	230	110	111	210	lp
177	-124.4	49.2	75	83	36	5126	211	-17	228	21	143	143	16	1679	272	41	59	765	140	157	705	lp
178	-123.3	51.51	4	139	36	7763	192	-188	380	100	-40	100	-96	358	44	17	31	127	53	127	87	lp
179	-122.88	56.38	-4	103	27	9610	187	-188	375	115	-63	115	-130	579	84	24	33	218	97	218	121	lp
180	-122.45	55.91	-8	98	27	9042	176	-181	357	106	-66	106	-124	635	87	25	30	228	113	228	144	lp
181	-119.28	49.95	41	109	32	7861	232	-108	340	-52	-4	142	-60	405	44	25	18	116	78	115	107	lp
182	-115.8	50	44	119	31	8565	244	-133	377	-60	-3	152	-69	550	62	30	21	167	107	146	154	lp
183	-116.03	49.05	39	119	33	7904	241	-114	355	-54	136	141	-61	764	97	37	30	283	126	144	254	lp
